image_name,breed_name
chihuahua32.jpg,chihuahua dog
chihuahua105.jpg,chihuahua dog
chihuahua212.jpg,chihuahua dog
chihuahua491.jpg,chihuahua dog
chihuahua336.jpg,chihuahua dog
chihuahua440.jpg,chihuahua dog
chihuahua179.jpg,chihuahua dog
chihuahua331.jpg,chihuahua dog
chihuahua496.jpg,chihuahua dog
chihuahua49.jpg,chihuahua dog
chihuahua98.jpg,chihuahua dog
chihuahua447.jpg,chihuahua dog
chihuahua269.jpg,chihuahua dog
chihuahua35.jpg,chihuahua dog
chihuahua102.jpg,chihuahua dog
chihuahua215.jpg,chihuahua dog
chihuahua498.jpg,chihuahua dog
chihuahua47.jpg,chihuahua dog
chihuahua96.jpg,chihuahua dog
chihuahua449.jpg,chihuahua dog
chihuahua170.jpg,chihuahua dog
chihuahua267.jpg,chihuahua dog
chihuahua343.jpg,chihuahua dog
chihuahua435.jpg,chihuahua dog
chihuahua392.jpg,chihuahua dog
chihuahua344.jpg,chihuahua dog
chihuahua395.jpg,chihuahua dog
chihuahua432.jpg,chihuahua dog
chihuahua338.jpg,chihuahua dog
chihuahua40.jpg,chihuahua dog
chihuahua91.jpg,chihuahua dog
chihuahua177.jpg,chihuahua dog
chihuahua260.jpg,chihuahua dog
chihuahua407.jpg,chihuahua dog
chihuahua371.jpg,chihuahua dog
chihuahua229.jpg,chihuahua dog
chihuahua75.jpg,chihuahua dog
chihuahua193.jpg,chihuahua dog
chihuahua255.jpg,chihuahua dog
chihuahua284.jpg,chihuahua dog
chihuahua142.jpg,chihuahua dog
chihuahua72.jpg,chihuahua dog
chihuahua194.jpg,chihuahua dog
chihuahua252.jpg,chihuahua dog
chihuahua283.jpg,chihuahua dog
chihuahua145.jpg,chihuahua dog
chihuahua400.jpg,chihuahua dog
chihuahua376.jpg,chihuahua dog
chihuahua139.jpg,chihuahua dog
chihuahua472.jpg,chihuahua dog
chihuahua304.jpg,chihuahua dog
chihuahua378.jpg,chihuahua dog
chihuahua220.jpg,chihuahua dog
chihuahua137.jpg,chihuahua dog
chihuahua409.jpg,chihuahua dog
